DBN,School Type,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
12X341,Middle School,Accion Academy,81%,100%,90%,91%,87%,85%,80%,83%,92%,90%,82%,90%
12X372,Middle/High,Urban Assembly School for Wildlife Conservation,7%,57%,58%,76%,62%,90%,78%,83%,79%,87%,84%,72%
12X383,Middle School,Emolior Academy,47%,70%,89%,84%,83%,76%,83%,82%,92%,93%,80%,83%
12X384,Middle School,Entrada Academy,28%,77%,87%,73%,70%,74%,77%,80%,85%,86%,79%,74%
12X388,High School,Pan American International High School at Monroe,87%,100%,96%,95%,93%,93%,92%,98%,94%,97%,98%,93%
12X428,YABC,Learning To Work Yabc At Monroe Academy,45%,80%,56%,91%,86%,94%,72%,89%,94%,88%,89%,92%
12X446,Transfer High School,Arturo A. Schomburg Satellite Academy Bronx,43%,100%,78%,79%,69%,92%,90%,88%,86%,97%,89%,76%
12X458,Early Childhood,Samara Community School,81%,100%,N/A,100%,99%,100%,93%,100%,99%,97%,N/A,100%
12X463,Elementary School,Urban Scholars Community School,75%,90%,N/A,91%,86%,96%,87%,89%,93%,93%,N/A,90%
12X478,High School,THE CINEMA SCHOOL,32%,90%,88%,80%,71%,79%,73%,82%,89%,89%,81%,78%
12X479,High School,Bronx Career and College Preparatory High School,25%,100%,45%,90%,82%,85%,80%,85%,92%,89%,85%,89%
12X480,Transfer High School,Bronx Regional High School,5%,64%,46%,79%,69%,71%,84%,77%,86%,92%,73%,76%
12X511,High School,Bronx Envision Academy,30%,92%,78%,80%,85%,80%,73%,77%,87%,88%,76%,81%
12X521,High School,The Metropolitan Soundview High School,5%,48%,27%,83%,81%,82%,73%,88%,89%,88%,87%,81%
12X531,Elementary School,Archer Elementary School,59%,95%,N/A,89%,90%,88%,83%,87%,93%,91%,N/A,89%
12X536,Elementary School,PS 536,54%,90%,N/A,93%,89%,97%,83%,96%,93%,90%,N/A,94%
12X550,High School,High School of World Cultures,93%,89%,90%,82%,76%,92%,80%,80%,85%,88%,81%,81%
12X682,High School,Fannie Lou Hamer Freedom High School,67%,100%,71%,97%,97%,87%,90%,86%,97%,97%,84%,96%
12X684,High School,Wings Academy,22%,76%,64%,83%,74%,79%,70%,74%,79%,77%,70%,82%
12X691,Elementary School,Bronx Little School,58%,89%,N/A,78%,71%,87%,82%,84%,88%,92%,N/A,79%
12X692,High School,Monroe Academy for Visual Arts & Design,31%,71%,75%,84%,78%,76%,72%,74%,84%,82%,72%,83%
13K003,Elementary School,P.S. 003 The Bedford Village,54%,94%,N/A,86%,83%,90%,87%,92%,90%,93%,N/A,87%
13K008,Elementary/Middle,P.S. 008 Robert Fulton,36%,64%,81%,93%,90%,91%,92%,84%,92%,92%,80%,94%
13K009,Elementary School,P.S. 009 Teunis G. Bergen,71%,60%,N/A,94%,87%,92%,94%,96%,95%,96%,N/A,93%
13K011,Elementary School,P.S. 011 Purvis J. Behan,73%,57%,N/A,89%,85%,92%,90%,95%,90%,94%,N/A,89%
13K020,Elementary School,P.S. 020 Clinton Hill,49%,93%,N/A,95%,89%,91%,92%,92%,95%,94%,N/A,93%
13K044,Elementary School,P.S. 044 Marcus Garvey,52%,95%,N/A,87%,75%,88%,85%,80%,91%,91%,N/A,83%
13K046,Elementary School,P.S. 046 Edward C. Blum,79%,94%,N/A,95%,88%,92%,83%,93%,93%,89%,N/A,94%
13K054,Elementary School,P.S. 054 Samuel C. Barnes,25%,76%,N/A,92%,85%,93%,90%,87%,93%,94%,N/A,89%
13K056,Elementary School,P.S. 056 Lewis H. Latimer,90%,62%,N/A,95%,86%,93%,90%,95%,97%,96%,N/A,93%
13K067,Elementary School,P.S. 067 Charles A. Dorsey,81%,90%,N/A,89%,82%,94%,87%,91%,89%,89%,N/A,89%
13K093,Elementary School,P.S. 093 William H. Prescott,61%,71%,N/A,87%,72%,90%,85%,81%,86%,90%,N/A,81%
13K113,Middle School,M.S. 113 Ronald Edmonds Learning Center,10%,85%,91%,79%,73%,81%,76%,83%,85%,84%,82%,79%
13K133,Elementary School,P.S. 133 William A. Butler,73%,73%,N/A,97%,93%,98%,92%,93%,96%,95%,N/A,96%
13K256,Elementary School,P.S. 256 Benjamin Banneker,70%,100%,N/A,90%,78%,91%,85%,92%,91%,90%,N/A,89%
13K265,Middle/High,Dr. Susan S. McKinney Secondary School of the Arts,31%,55%,76%,85%,85%,86%,79%,81%,87%,83%,79%,89%
13K266,Middle School,M.S. K266 - Park Place Community Middle School,50%,69%,91%,88%,85%,84%,85%,75%,92%,93%,73%,88%
13K270,Elementary School,P.S. 270 Johann DeKalb,46%,100%,N/A,80%,71%,82%,82%,84%,88%,91%,N/A,79%
13K282,Elementary/Middle,P.S. 282 Park Slope,26%,48%,89%,78%,75%,89%,89%,82%,86%,90%,78%,83%
13K287,Elementary School,P.S. 287 Bailey K. Ashford,78%,63%,N/A,88%,80%,94%,77%,94%,87%,88%,N/A,87%
13K301,Middle School,Satellite East Middle School,77%,100%,96%,86%,80%,89%,79%,84%,85%,88%,82%,85%
13K305,Elementary School,P.S. 305 Dr. Peter Ray,57%,57%,N/A,80%,63%,79%,79%,86%,79%,87%,N/A,77%
13K307,Elementary School,P.S. 307 Daniel Hale Williams,40%,67%,N/A,93%,84%,95%,89%,92%,95%,94%,N/A,91%
13K313,Middle School,Satellite West Middle School,38%,82%,94%,87%,84%,91%,84%,88%,89%,88%,86%,89%
13K350,High School,Urban Assembly High School of Music and Art,6%,71%,77%,84%,76%,80%,68%,79%,85%,80%,76%,83%
13K351,Middle School,The Urban Assembly Unison School,32%,100%,96%,88%,89%,75%,86%,68%,87%,93%,62%,88%
13K412,High School,"Brooklyn Community High School of Communication, Arts and Media",14%,89%,88%,92%,92%,86%,80%,84%,90%,88%,82%,92%
13K419,High School,"Science Skills Center High School for Science, Technology and the Creative Arts",14%,89%,83%,84%,79%,84%,78%,74%,84%,89%,70%,83%
13K430,High School,Brooklyn Technical High School,28%,68%,80%,80%,72%,81%,61%,85%,85%,83%,81%,79%
13K439,High School,Brooklyn International High School,87%,100%,95%,99%,97%,96%,78%,93%,97%,91%,93%,99%
13K483,High School,The Urban Assembly School for Law and Justice,49%,87%,89%,92%,91%,86%,78%,84%,94%,91%,82%,92%
13K492,Elementary/Middle,Academy of Arts and Letters,69%,97%,94%,96%,92%,94%,91%,90%,93%,95%,87%,95%
13K499,High School,ACORN Community High School,11%,97%,56%,87%,85%,87%,74%,78%,88%,83%,77%,89%
13K527,Middle/High,Urban Assembly Institute of Math and Science for Young Women,32%,98%,77%,89%,86%,84%,73%,82%,88%,84%,80%,90%
13K553,Transfer High School,Brooklyn Academy High School,19%,100%,57%,97%,93%,87%,82%,88%,96%,90%,87%,96%
13K575,Transfer High School,Bedford Stuyvesant Preparatory High School,26%,83%,67%,97%,97%,89%,89%,94%,99%,98%,93%,96%
13K595,High School,Bedford Academy High School,46%,76%,85%,91%,91%,90%,90%,87%,92%,95%,83%,93%
13K596,Middle School,MS 596 Peace Academy,48%,80%,96%,76%,72%,88%,92%,82%,89%,95%,83%,77%
13K605,High School,George Westinghouse Career and Technical Education High School,30%,83%,65%,82%,79%,79%,73%,78%,86%,83%,76%,82%
13K616,Transfer High School,Brooklyn High School for Leadership and Community Service,22%,88%,54%,96%,90%,93%,76%,86%,97%,92%,84%,95%
13K657,YABC,Downtown Brooklyn Yabc,7%,72%,42%,93%,89%,91%,64%,88%,92%,84%,86%,93%
13K670,High School,Benjamin Banneker Academy,6%,54%,59%,88%,82%,84%,72%,78%,87%,83%,73%,89%
13K674,High School,"City Polytechnic High School of Engineering, Architecture, and Technology",51%,100%,92%,71%,69%,83%,76%,80%,82%,90%,78%,72%
13K691,Middle School,Fort Greene Preparatory Academy,32%,100%,95%,78%,70%,74%,82%,76%,84%,91%,73%,76%
14K016,Elementary School,P.S. 016 Leonard Dunkly,100%,100%,N/A,95%,82%,95%,88%,98%,94%,92%,N/A,93%
14K017,Elementary School,P.S. 017 Henry D. Woodworth,57%,84%,N/A,90%,78%,93%,86%,97%,92%,92%,N/A,90%
14K018,Elementary School,P.S. 018 Edward Bush,88%,88%,N/A,97%,93%,95%,83%,97%,98%,93%,N/A,97%
14K019,Elementary School,P.S. 019 Roberto Clemente,74%,88%,N/A,91%,84%,89%,86%,87%,96%,94%,N/A,89%
14K023,Elementary School,P.S. 023 Carter G. Woodson,93%,83%,N/A,97%,94%,98%,89%,98%,96%,94%,N/A,97%
14K031,Elementary School,P.S. 031 Samuel F. Dupont,64%,85%,N/A,91%,83%,96%,85%,96%,95%,95%,N/A,91%
14K034,Elementary School,P.S. 034 Oliver H. Perry,91%,97%,N/A,94%,84%,96%,87%,93%,94%,94%,N/A,92%
14K050,Middle School,J.H.S. 050 John D. Wells,50%,83%,87%,80%,66%,82%,78%,81%,85%,89%,80%,77%
14K059,Elementary School,P.S. 059 William Floyd,67%,92%,N/A,96%,88%,92%,84%,91%,94%,91%,N/A,93%
14K071,Middle/High,Juan Morel Campos Secondary School,32%,93%,72%,92%,88%,88%,77%,82%,91%,86%,81%,92%
14K084,Elementary School,P.S. 084 Jose De Diego,62%,86%,97%,93%,84%,93%,89%,92%,94%,93%,91%,92%
14K110,Elementary School,P.S. 110 The Monitor,78%,97%,N/A,96%,90%,98%,89%,95%,96%,93%,N/A,95%
14K120,Elementary School,P.S. 120 Carlos Tapia,80%,91%,N/A,98%,94%,97%,87%,99%,98%,95%,N/A,98%
14K126,Middle School,John Ericsson Middle School 126,89%,79%,86%,77%,66%,87%,82%,86%,83%,93%,85%,74%
14K132,Elementary School,P.S. 132 The Conselyea School,78%,98%,N/A,86%,80%,86%,89%,91%,90%,95%,N/A,86%
14K147,Elementary School,P.S. 147 Isaac Remsen,95%,83%,N/A,98%,94%,94%,89%,95%,98%,95%,N/A,97%
14K157,Elementary/Middle,P.S. 157 Benjamin Franklin,78%,91%,97%,91%,87%,94%,86%,93%,94%,94%,92%,91%
14K196,Elementary School,P.S. 196 Ten Eyck,62%,72%,N/A,96%,92%,95%,87%,95%,98%,95%,N/A,96%
14K250,Elementary School,P.S. 250 George H. Lindsay,91%,39%,N/A,87%,73%,94%,84%,90%,93%,92%,N/A,86%
14K257,Elementary School,P.S. 257 John F. Hylan,75%,87%,N/A,100%,98%,95%,92%,99%,99%,97%,N/A,99%
14K297,Elementary School,P.S. 297 Abraham Stockton,74%,100%,N/A,88%,81%,85%,90%,88%,91%,93%,N/A,86%
14K318,Middle School,I.S. 318 Eugenio Maria De Hostos,20%,71%,85%,91%,85%,87%,78%,87%,92%,89%,84%,90%
14K319,Early Childhood,P.S. 319,100%,100%,N/A,98%,95%,98%,95%,100%,98%,98%,N/A,97%
14K322,High School,Foundations Academy,32%,75%,71%,79%,70%,86%,79%,75%,81%,86%,70%,79%
14K330,Middle School,The School for the Urban Environment,39%,100%,78%,100%,100%,100%,88%,96%,99%,95%,96%,100%
14K380,Elementary School,P.S. 380 John Wayne Elementary,100%,98%,N/A,89%,81%,88%,84%,94%,91%,94%,N/A,88%
14K414,Elementary School,Brooklyn Arbor Elementary School,73%,100%,N/A,92%,88%,84%,93%,91%,97%,96%,N/A,91%
14K449,High School,"Brooklyn Latin School, The",25%,96%,97%,94%,92%,91%,70%,89%,95%,88%,87%,95%
14K454,High School,Green School: An Academy for Environmental Careers,23%,81%,45%,94%,92%,90%,78%,83%,94%,91%,82%,94%
14K474,High School,PROGRESS High School for Professional Careers,47%,85%,62%,91%,85%,89%,85%,78%,87%,86%,77%,89%
14K477,High School,School for Legal Studies,19%,95%,73%,89%,82%,84%,71%,81%,90%,84%,80%,88%
14K478,High School,"The High School for Enterprise, Business and Technology",29%,57%,36%,81%,72%,88%,67%,90%,85%,81%,91%,79%
14K488,High School,Brooklyn Preparatory High School,13%,68%,0%,91%,90%,82%,76%,93%,95%,87%,N/A,91%
14K558,High School,Williamsburg High School for Architecture and Design,60%,100%,90%,95%,92%,95%,77%,97%,96%,90%,98%,94%
14K561,High School,Williamsburg Preparatory School,39%,98%,90%,93%,93%,86%,80%,86%,96%,93%,85%,93%
14K577,Middle School,Conselyea Preparatory School,89%,94%,88%,91%,89%,92%,78%,88%,92%,91%,86%,92%
14K582,Middle School,M.S. 582,46%,100%,96%,96%,92%,97%,84%,93%,95%,91%,93%,96%
14K586,Middle/High,Lyons Community School,20%,96%,86%,95%,92%,85%,84%,84%,93%,91%,82%,94%
14K610,High School,Automotive High School,0%,77%,31%,74%,56%,82%,75%,79%,72%,N/A,80%,71%
14K614,Middle/High,Young Women's Leadership School of Brooklyn,70%,97%,92%,88%,83%,84%,81%,85%,93%,93%,84%,88%
14K632,High School,Frances Perkins Academy,41%,100%,88%,92%,94%,80%,82%,83%,92%,88%,81%,92%
14K685,High School,El Puente Academy for Peace and Justice,56%,82%,89%,94%,89%,90%,74%,86%,95%,89%,86%,93%
14K923,YABC,Automotive High School Yabc,0%,65%,36%,92%,82%,92%,84%,90%,93%,N/A,90%,90%
15K001,Elementary School,P.S. 001 The Bergen,24%,40%,N/A,79%,68%,84%,83%,88%,89%,92%,N/A,79%
15K010,Elementary School,"Magnet School of Math, Science and Design Technology",40%,61%,N/A,87%,80%,92%,93%,96%,91%,95%,N/A,88%
15K015,Elementary School,P.S. 015 Patrick F. Daly,40%,76%,N/A,94%,85%,90%,88%,90%,94%,93%,N/A,91%
15K024,Elementary School,P.S. 024,51%,98%,N/A,83%,64%,81%,83%,85%,86%,91%,N/A,78%
15K029,Elementary School,P.S. 029 John M. Harrigan,71%,63%,N/A,96%,91%,92%,96%,97%,98%,98%,N/A,94%
15K032,Elementary School,P.S. 032 Samuel Mills Sprole,69%,94%,N/A,93%,90%,88%,93%,92%,97%,96%,N/A,92%
15K038,Elementary School,P.S. 038 The Pacific,50%,90%,N/A,93%,86%,93%,93%,93%,93%,95%,N/A,92%
15K039,Elementary School,P.S. 039 Henry Bristow,64%,100%,N/A,80%,69%,87%,92%,89%,83%,95%,N/A,78%
15K051,Middle School,M.S. 51 William Alexander,55%,97%,96%,88%,85%,87%,74%,89%,90%,85%,85%,90%
15K058,Elementary School,P.S. 058 The Carroll,77%,94%,N/A,94%,92%,91%,95%,97%,94%,95%,N/A,94%
15K088,Middle School,J.H.S. 088 Peter Rouget,22%,61%,89%,87%,77%,89%,78%,86%,90%,90%,85%,86%
15K094,Elementary School,P.S. 094 The Henry Longfellow,74%,97%,N/A,83%,77%,90%,81%,91%,87%,92%,N/A,84%
15K107,Elementary School,P.S. 107 John W. Kimball,90%,85%,N/A,91%,88%,98%,92%,95%,93%,93%,N/A,93%
15K118,Early Childhood,The Maurice Sendak Community School,94%,80%,N/A,97%,94%,94%,95%,99%,98%,97%,N/A,96%
15K124,Elementary School,P.S. 124 Silas B. Dutcher,55%,89%,N/A,80%,63%,90%,83%,95%,86%,93%,N/A,80%
15K130,Elementary School,P.S. 130 The Parkside,68%,82%,N/A,87%,82%,92%,86%,93%,90%,93%,N/A,87%
15K131,Elementary School,P.S. 131 Brooklyn,45%,84%,N/A,96%,89%,94%,83%,97%,97%,93%,N/A,95%
15K136,Middle School,I.S. 136 Charles O. Dewey,36%,96%,92%,94%,87%,91%,83%,89%,94%,90%,88%,93%
15K146,Elementary School,P.S. 146,44%,98%,N/A,99%,99%,97%,95%,95%,98%,96%,N/A,98%
15K154,Elementary School,The Windsor Terrace School,65%,100%,N/A,93%,90%,88%,94%,99%,97%,96%,N/A,94%
15K169,Elementary School,P.S. 169 Sunset Park,56%,69%,N/A,73%,61%,82%,80%,87%,74%,90%,N/A,71%
15K172,Elementary School,P.S. 172 Beacon School of Excellence,100%,100%,N/A,95%,95%,97%,88%,97%,98%,96%,N/A,96%
15K230,Elementary School,P.S. 230 Doris L. Cohen,63%,89%,N/A,97%,93%,92%,87%,97%,98%,95%,N/A,96%
15K261,Elementary/Middle,P.S. 261 Philip Livingston,51%,52%,N/A,84%,75%,88%,94%,91%,90%,95%,N/A,84%
15K295,Elementary School,P.S. 295,65%,100%,N/A,96%,95%,91%,90%,95%,98%,94%,N/A,96%
15K321,Elementary School,P.S. 321 William Penn,59%,85%,N/A,96%,96%,96%,94%,98%,98%,97%,N/A,97%
15K418,Elementary School,P.S. 372 -The Children's School,38%,79%,N/A,94%,90%,93%,94%,93%,97%,95%,N/A,93%
15K423,Transfer High School,Brooklyn Frontiers High School,24%,96%,70%,91%,88%,75%,74%,78%,90%,82%,77%,89%
15K429,Middle/High,Brooklyn School for Global Studies,19%,79%,66%,73%,67%,79%,69%,78%,76%,80%,74%,73%
15K442,Middle School,M.S. 442 Carroll Gardens School for Innovation,33%,93%,90%,90%,83%,84%,82%,85%,92%,91%,83%,88%
15K443,Middle School,New Voices School of Academic & Creative Arts,44%,76%,97%,94%,89%,93%,83%,86%,93%,92%,82%,94%
15K447,Middle School,The Math & Science Exploratory School,68%,100%,98%,92%,91%,87%,88%,87%,93%,94%,83%,93%
15K448,Middle/High,Brooklyn Secondary School for Collaborative Studies,23%,89%,79%,91%,87%,85%,81%,85%,93%,92%,83%,91%
15K462,High School,Secondary School for Law,88%,56%,87%,79%,77%,91%,81%,89%,90%,95%,88%,80%
15K463,High School,Secondary School for Journalism,14%,68%,60%,86%,86%,91%,71%,79%,88%,81%,79%,89%
15K464,Middle/High,Park Slope Collegiate,25%,85%,80%,93%,92%,91%,79%,83%,92%,90%,82%,94%
15K497,Middle/High,School for International Studies,22%,80%,52%,85%,79%,83%,71%,73%,80%,81%,70%,85%
15K516,Early Childhood,Sunset Park Avenues Elementary School,93%,100%,N/A,98%,97%,85%,91%,99%,100%,97%,N/A,97%
15K519,High School,Cobble Hill School of American Studies,33%,70%,54%,70%,56%,80%,75%,79%,78%,90%,79%,65%
15K529,Transfer High School,West Brooklyn Community High School,41%,82%,64%,89%,89%,85%,83%,88%,94%,92%,86%,89%
15K592,High School,Khalil Gibran International Academy,59%,100%,85%,92%,84%,88%,80%,89%,96%,94%,88%,91%
15K656,High School,Brooklyn High School of the Arts,15%,91%,82%,72%,68%,81%,69%,75%,81%,82%,73%,74%
15K667,High School,Sunset Park High School,18%,83%,65%,84%,82%,83%,74%,84%,90%,89%,83%,84%
15K676,Elementary School,Red Hook Neighborhood School,20%,56%,N/A,82%,72%,84%,80%,85%,82%,87%,N/A,80%
15K684,High School,Millennium Brooklyn HS,28%,100%,78%,94%,93%,92%,78%,89%,94%,90%,86%,95%
15K698,Transfer High School,South Brooklyn Community High School,13%,100%,42%,96%,94%,90%,84%,87%,97%,93%,87%,95%
15K821,Middle School,Sunset Park Prep,27%,95%,94%,84%,85%,78%,71%,84%,92%,90%,83%,84%
16K005,Elementary School,P.S. 005 Dr. Ronald Mcnair,63%,41%,N/A,91%,75%,96%,86%,88%,90%,93%,N/A,87%
16K021,Elementary School,P.S. 021 Crispus Attucks,73%,74%,N/A,88%,79%,92%,87%,90%,89%,93%,N/A,86%
16K025,Elementary School,P.S. 025 Eubie Blake School,59%,100%,N/A,89%,87%,88%,87%,90%,92%,95%,N/A,88%
16K026,Elementary School,P.S. 026 Jesse Owens,79%,100%,N/A,91%,78%,89%,84%,87%,94%,93%,N/A,88%
16K028,Elementary School,P.S. 028 The Warren Prep Academy,40%,100%,N/A,89%,86%,90%,88%,91%,92%,90%,N/A,90%
16K035,Middle School,M.S. 035 Stephen Decatur,99%,100%,99%,97%,92%,97%,94%,93%,96%,97%,93%,96%
16K040,Elementary School,P.S. 040 George W. Carver,58%,100%,N/A,93%,92%,95%,83%,91%,92%,93%,N/A,92%
16K057,Middle School,J.H.S. 057 Whitelaw Reid,54%,100%,96%,99%,97%,95%,86%,92%,97%,94%,90%,98%
16K081,Elementary School,P.S. 081 Thaddeus Stevens,60%,100%,N/A,94%,85%,93%,86%,88%,94%,92%,N/A,91%
16K243,Elementary School,P.S. 243K- The Weeksville School,28%,77%,N/A,79%,69%,87%,80%,88%,80%,86%,N/A,78%
16K262,Elementary/Middle,P.S. 262 El Hajj Malik El Shabazz Elementary School,30%,69%,89%,95%,85%,92%,86%,90%,92%,89%,89%,93%
16K267,Middle School,"M.S. 267 Math, Science & Technology",69%,100%,98%,93%,92%,97%,80%,86%,91%,90%,85%,94%
16K308,Elementary/Middle,P.S. 308 Clara Cardwell,31%,93%,87%,86%,77%,87%,83%,86%,86%,88%,85%,85%
16K309,Elementary School,P.S. 309 The George E. Wibecan Preparatory Academy,79%,93%,N/A,80%,73%,88%,82%,89%,82%,91%,N/A,80%
16K335,Elementary School,P.S. 335 Granville T. Woods,47%,85%,N/A,93%,85%,87%,85%,91%,95%,90%,N/A,91%
16K385,Middle School,"School of Business, Finance and Entrepreneurship",83%,100%,95%,92%,81%,90%,82%,91%,90%,94%,89%,88%
16K393,High School,Frederick Douglass Academy IV Secondary School,29%,100%,90%,87%,77%,90%,87%,90%,83%,77%,91%,86%
16K455,High School,Boys and Girls High School,6%,70%,23%,81%,75%,86%,81%,82%,87%,87%,83%,81%
16K498,High School,Brooklyn High School for Law and Technology,19%,53%,70%,76%,71%,72%,64%,73%,85%,85%,69%,75%
16K534,Middle School,Upper School @ P.S. 25,37%,100%,97%,83%,82%,90%,80%,87%,86%,83%,87%,85%
16K584,Middle School,M.S. 584,17%,100%,94%,93%,93%,90%,87%,81%,95%,90%,81%,95%
16K594,High School,Gotham Professional Arts Academy,19%,94%,76%,82%,72%,90%,82%,80%,88%,95%,80%,80%
16K627,Elementary School,Brighter Choice Community School,100%,100%,N/A,95%,91%,88%,97%,97%,100%,99%,N/A,94%
16K628,Elementary School,Brooklyn Brownstone School,96%,77%,N/A,99%,99%,93%,94%,97%,98%,96%,N/A,98%
16K636,Elementary School,Young Scholars' Academy for Discovery and Exploration,79%,100%,N/A,95%,84%,94%,87%,95%,93%,92%,N/A,93%
16K669,High School,Research and Service High School,1%,60%,49%,98%,94%,88%,98%,85%,98%,N/A,87%,96%
16K681,Middle School,Madiba Prep Middle School,46%,95%,97%,87%,76%,87%,80%,84%,88%,89%,83%,84%
16K688,High School,The Brooklyn Academy of Global Finance,26%,93%,77%,95%,91%,85%,76%,81%,93%,87%,80%,93%
16K765,High School,Nelson Mandela High School,28%,100%,77%,94%,94%,88%,76%,78%,95%,90%,77%,94%
16K959,YABC,BOYS AND GIRLS YABC,29%,59%,52%,96%,93%,88%,55%,90%,98%,92%,88%,93%
17K002,Middle School,Parkside Preparatory Academy,42%,80%,75%,89%,86%,87%,77%,85%,88%,86%,84%,89%
17K006,Elementary School,P.S. 006,15%,50%,N/A,97%,86%,95%,82%,95%,95%,87%,N/A,95%
17K012,Elementary School,Dr. Jacqueline Peek-Davis School,35%,55%,N/A,85%,84%,93%,87%,93%,91%,92%,N/A,87%
17K061,Middle School,M.S. 061 Dr. Gladstone H. Atwell,10%,53%,79%,78%,70%,85%,86%,82%,81%,95%,80%,75%
17K091,Elementary School,P.S. 091 The Albany Avenue School,75%,91%,N/A,89%,80%,95%,83%,93%,85%,88%,N/A,88%
17K092,Elementary School,P.S. 092 Adrian Hegeman,16%,61%,N/A,89%,77%,77%,86%,84%,92%,89%,N/A,85%
17K122,High School,Pathways in Technology Early College High School (P-Tech),17%,71%,31%,86%,85%,94%,76%,83%,90%,88%,81%,88%
17K138,Elementary/Middle,P.S. 138 Brooklyn,53%,86%,85%,100%,99%,99%,92%,92%,96%,96%,90%,100%
17K161,Elementary/Middle,P.S. 161 The Crown,53%,67%,N/A,94%,89%,99%,87%,96%,95%,93%,N/A,94%
17K167,Elementary School,P.S. 167 The Parkway,43%,75%,N/A,92%,93%,96%,87%,92%,96%,94%,N/A,92%
17K181,Elementary/Middle,P.S. 181 Brooklyn,32%,41%,96%,81%,79%,80%,81%,81%,87%,88%,79%,82%
17K189,Elementary/Middle,P.S. 189 The Bilingual Center,46%,71%,90%,91%,83%,94%,82%,87%,90%,90%,87%,90%
17K191,Elementary School,P.S. 191 Paul Robeson,59%,100%,N/A,88%,78%,94%,77%,91%,84%,83%,N/A,86%
17K221,Elementary School,P.S. 221 Toussaint L'Ouverture,77%,80%,N/A,98%,88%,98%,90%,96%,98%,95%,N/A,96%
17K241,Elementary School,P.S. 241 Emma L. Johnston,70%,66%,N/A,90%,83%,89%,84%,91%,92%,90%,N/A,89%
17K246,Middle School,M.S. 246 Walt Whitman,43%,92%,88%,78%,73%,84%,79%,80%,84%,89%,79%,78%
17K249,Elementary School,P.S. 249 The Caton,82%,86%,N/A,97%,88%,98%,87%,96%,96%,94%,N/A,95%
17K289,Elementary School,P.S. 289 George V. Brower,41%,88%,N/A,89%,80%,90%,80%,92%,91%,86%,N/A,89%
17K316,Elementary School,P.S. 316 Elijah Stroud,58%,85%,N/A,94%,83%,98%,86%,96%,94%,93%,N/A,93%
17K334,Middle School,Middle School for Academic and Social Excellence,52%,100%,95%,87%,88%,89%,81%,83%,89%,90%,81%,88%
17K340,Middle School,I.S. 340,45%,100%,99%,93%,91%,90%,81%,83%,89%,91%,78%,93%
17K352,Middle School,Ebbets Field Middle School,83%,71%,95%,85%,73%,91%,76%,84%,89%,90%,83%,84%
17K353,Middle School,Elijah Stroud Middle School 353,78%,100%,94%,90%,89%,91%,78%,86%,94%,89%,86%,92%
17K354,Middle School,The School of Integrated Learning,81%,92%,96%,97%,95%,99%,88%,96%,98%,96%,96%,97%
17K375,Elementary School,P.S. 375 Jackie Robinson School,58%,93%,N/A,92%,89%,88%,85%,90%,92%,90%,N/A,91%
17K382,Middle/High,Academy for College Preparation and Career Exploration: A College Board School,6%,82%,61%,76%,68%,79%,70%,75%,77%,78%,74%,76%
17K394,Elementary/Middle,M.S. K394,28%,88%,97%,86%,80%,89%,82%,83%,85%,89%,80%,86%
17K397,Elementary School,P.S. 397 Foster-Laurie,45%,88%,N/A,85%,72%,94%,83%,89%,86%,92%,N/A,82%
17K398,Elementary School,P.S. 398 Walter Weaver,85%,79%,N/A,89%,79%,89%,82%,86%,92%,89%,N/A,87%
17K399,Elementary School,P.S. 399 Stanley Eugene Clark,42%,35%,N/A,69%,53%,82%,87%,97%,77%,91%,N/A,72%
17K408,High School,Academy of Hospitality and Tourism,77%,95%,87%,86%,89%,80%,67%,74%,87%,80%,75%,87%
17K467,YABC,Erasmus Yabc,62%,100%,67%,93%,85%,84%,80%,83%,96%,95%,81%,91%
17K484,Middle School,Ronald Edmonds Learning Center II,21%,100%,81%,100%,98%,97%,95%,100%,100%,98%,100%,99%
