DBN,School Name,"Total Parent 
Response Rate",Total Teacher Response Rate,Total Student Response Rate,Percent Satisfaction: Collaborative Teachers,Percent Satisfaction: Effective School Leadership,Percent Satisfaction: Rigorous Instruction,Percent Satisfaction: Strong Family-Community Ties,Percent Satisfaction: Supportive Environment,Percent Satisfaction: Trust,Percent Satisfaction: Parent,Percent Satisfaction: Student,Percent Satisfaction: Teacher
19K292,J.H.S. 292 Margaret S. Douglas,51%,85%,96%,70%,77%,77%,78%,66%,81%,86%,69%,74%
19K306,P.S. 306 Ethan Allen,32%,74%,99%,62%,57%,67%,85%,68%,76%,86%,71%,62%
19K311,Essence School,67%,81%,88%,85%,93%,75%,87%,69%,89%,88%,69%,88%
19K325,The Fresh Creek School,51%,89%,N/A,77%,86%,80%,88%,69%,87%,91%,N/A,78%
19K328,P.S. 328 Phyllis Wheatley,88%,100%,N/A,82%,90%,82%,89%,61%,93%,92%,N/A,80%
19K345,P.S. 345 Patrolman Robert Bolden,58%,67%,N/A,75%,76%,81%,90%,74%,84%,94%,N/A,75%
19K346,P.S. 346 Abe Stark,60%,87%,N/A,88%,89%,84%,88%,79%,90%,91%,N/A,86%
19K364,I.S. 364 Gateway,48%,96%,97%,83%,92%,82%,81%,72%,90%,89%,74%,87%
19K404,Academy For Young Writers,35%,91%,73%,77%,87%,76%,84%,66%,89%,89%,69%,83%
19K409,East New York Family Academy,23%,76%,89%,87%,94%,85%,87%,69%,90%,90%,70%,91%
19K422,Spring Creek Community School,35%,100%,95%,93%,97%,86%,87%,72%,90%,89%,72%,94%
19K431,Thomas Jefferson Yabc,4%,70%,69%,93%,95%,97%,83%,97%,98%,92%,97%,94%
19K452,Frederick Douglass Academy Viii Middle School,92%,84%,99%,86%,92%,89%,92%,80%,90%,96%,82%,88%
19K501,Franklin K. Lane Campus Yabc,71%,60%,76%,93%,97%,89%,99%,90%,97%,99%,91%,93%
19K502,Fdny High School For Fire And Life Safety,36%,100%,79%,77%,86%,83%,95%,63%,85%,97%,65%,82%
19K504,High School For Civil Rights,9%,55%,35%,75%,73%,56%,84%,65%,80%,94%,67%,68%
19K507,Performing Arts And Technology High School,10%,55%,47%,72%,84%,89%,86%,66%,87%,94%,69%,81%
19K510,World Academy For Total Community Health High School,24%,100%,93%,87%,89%,89%,78%,65%,88%,86%,65%,91%
19K557,Brooklyn Gardens Elementary School,93%,100%,N/A,96%,95%,89%,90%,76%,95%,91%,N/A,91%
19K583,Multicultural High School,50%,95%,55%,78%,89%,88%,81%,80%,88%,92%,81%,83%
19K615,Transit Tech Career And Technical Education High School,10%,76%,59%,60%,70%,71%,77%,57%,81%,89%,62%,66%
19K618,Academy Of Innovative Technology,11%,88%,65%,83%,95%,85%,81%,72%,94%,93%,75%,89%
19K639,Brooklyn Lab School,20%,100%,77%,60%,68%,65%,86%,61%,80%,92%,67%,62%
19K654,Van Siclen Community Middle School,45%,100%,95%,93%,97%,87%,84%,76%,92%,89%,75%,95%
19K659,Cypress Hills Collegiate Preparatory School,52%,100%,91%,66%,74%,78%,92%,70%,79%,98%,75%,68%
19K660,W. H. Maxwell Career And Technical Education High School,59%,91%,85%,82%,86%,78%,80%,66%,86%,88%,68%,84%
19K661,Vista Academy,77%,100%,99%,88%,94%,90%,86%,82%,91%,93%,83%,89%
19K662,Liberty Avenue Middle School,55%,100%,93%,84%,91%,83%,85%,92%,95%,94%,95%,85%
19K663,School Of The Future Brooklyn,43%,75%,80%,90%,91%,81%,84%,76%,89%,93%,75%,87%
19K677,East New York Elementary School Of Excellence,38%,85%,N/A,68%,73%,79%,86%,62%,86%,90%,N/A,70%
19K678,East New York Middle School Of Excellence,98%,100%,99%,82%,87%,82%,91%,86%,92%,96%,88%,83%
19K683,"The School For Classics: An Academy Of Thinkers, Writers And Peformers",8%,100%,71%,77%,90%,80%,82%,66%,90%,93%,69%,84%
19K760,Highland Park Community School,66%,100%,99%,80%,87%,90%,86%,77%,89%,93%,79%,85%
19K764,The Urban Assembly School For Collaborative Healthcare,48%,100%,65%,85%,89%,81%,79%,71%,91%,89%,72%,87%
20K030,Ps/Is 30 Mary White Ovington,42%,81%,95%,84%,86%,81%,88%,69%,89%,93%,70%,84%
20K048,P.S. 048 Mapleton,92%,93%,N/A,85%,86%,82%,86%,81%,92%,93%,N/A,84%
20K062,J.H.S. 062 Ditmas,74%,93%,99%,85%,89%,88%,83%,79%,92%,90%,79%,89%
20K069,P.S. 69 Vincent D. Grippo School,100%,93%,N/A,93%,94%,92%,91%,89%,97%,96%,N/A,93%
20K102,P.S. 102 The Bayview,79%,79%,N/A,86%,88%,89%,94%,81%,90%,94%,N/A,86%
20K104,P.S./I.S. 104 The Fort Hamilton School,97%,96%,98%,91%,94%,91%,91%,76%,91%,92%,76%,94%
20K105,P.S. 105 The Blythebourne,93%,99%,N/A,85%,91%,87%,90%,87%,92%,96%,N/A,87%
20K112,P.S. 112 Lefferts Park,99%,100%,N/A,94%,95%,92%,92%,87%,96%,95%,N/A,92%
20K127,P.S. 127 Mckinley Park,91%,100%,N/A,95%,96%,96%,95%,94%,98%,97%,N/A,96%
20K160,P.S. 160 William T. Sampson,100%,82%,N/A,90%,95%,88%,89%,87%,96%,96%,N/A,91%
20K163,P.S. 163 Bath Beach,48%,89%,93%,93%,94%,93%,91%,83%,93%,94%,83%,93%
20K164,P.S. 164 Caesar Rodney,100%,100%,N/A,95%,95%,95%,93%,94%,96%,95%,N/A,95%
20K170,Ralph A. Fabrizio School,87%,96%,N/A,98%,99%,95%,92%,96%,99%,96%,N/A,98%
20K176,P.S. 176 Ovington,100%,97%,N/A,95%,95%,91%,92%,89%,94%,94%,N/A,93%
20K179,P.S. 179 Kensington,82%,89%,N/A,86%,88%,86%,90%,84%,92%,93%,N/A,86%
20K180,The Seeall Academy,68%,87%,100%,87%,93%,88%,87%,77%,92%,93%,76%,91%
20K185,P.S. 185 Walter Kassenbrock,97%,100%,N/A,94%,96%,94%,91%,92%,97%,91%,N/A,95%
20K186,P.S. 186 Dr. Irving A Gladstone,82%,100%,N/A,77%,79%,74%,91%,81%,84%,95%,N/A,77%
20K187,The Christa Mcauliffe School\I.S. 187,62%,77%,100%,88%,95%,93%,91%,86%,91%,94%,84%,91%
20K192,P.S. 192 - The Magnet School For Math And Science Inquiry,82%,83%,99%,91%,93%,92%,89%,80%,90%,93%,80%,92%
20K200,P.S. 200 Benson School,55%,90%,N/A,78%,81%,82%,85%,76%,87%,89%,N/A,79%
20K201,J.H.S. 201 The Dyker Heights,87%,87%,99%,89%,93%,91%,84%,79%,92%,90%,78%,92%
20K204,P.S. 204 Vince Lombardi,81%,90%,N/A,92%,92%,91%,91%,90%,95%,94%,N/A,92%
20K205,P.S. 205 Clarion,59%,51%,N/A,76%,75%,78%,89%,81%,81%,93%,N/A,76%
20K220,J.H.S. 220 John J. Pershing,46%,87%,96%,74%,82%,78%,73%,71%,86%,88%,73%,77%
20K223,J.H.S. 223 The Montauk,62%,94%,98%,87%,92%,84%,79%,75%,88%,89%,75%,88%
20K227,J.H.S. 227 Edward B. Shallow,27%,98%,97%,79%,85%,85%,79%,75%,89%,91%,75%,83%
20K229,P.S. 229 Dyker,84%,67%,97%,83%,84%,88%,90%,72%,86%,93%,72%,86%
20K247,P.S. 247 Brooklyn,66%,79%,N/A,85%,87%,84%,91%,77%,91%,95%,N/A,83%
20K259,J.H.S. 259 William Mckinley,81%,99%,98%,92%,95%,90%,81%,79%,92%,88%,78%,94%
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,100%,97%,N/A,76%,80%,92%,91%,86%,86%,91%,N/A,83%
20K310,The School For Future Leaders,96%,100%,N/A,93%,98%,93%,93%,92%,97%,98%,N/A,94%
20K445,New Utrecht High School,44%,70%,68%,85%,89%,85%,74%,70%,88%,85%,72%,87%
20K485,High School Of Telecommunication Arts And Technology,19%,81%,84%,81%,84%,83%,80%,80%,91%,91%,81%,83%
20K490,Fort Hamilton High School,57%,89%,85%,83%,86%,83%,72%,71%,83%,83%,72%,84%
20K503,Ps 503: The School Of Discovery,88%,100%,N/A,83%,85%,77%,90%,80%,91%,95%,N/A,82%
20K505,Franklin Delano Roosevelt High School,36%,92%,71%,74%,72%,76%,75%,70%,78%,86%,72%,71%
20K506,P.S. 506: The School Of Journalism & Technology,46%,92%,N/A,84%,87%,87%,88%,83%,91%,93%,N/A,85%
20K609,Urban Assembly School For Criminal Justice,43%,95%,94%,89%,92%,91%,83%,83%,91%,91%,84%,90%
20K658,Franklin Delano Roosevelt Yabc,1%,86%,35%,88%,85%,92%,91%,80%,91%,N/A,81%,90%
20K682,The Academy Of Talented Scholars,93%,91%,N/A,90%,92%,95%,98%,88%,91%,98%,N/A,90%
20K686,Brooklyn School Of Inquiry,79%,100%,99%,88%,90%,85%,94%,69%,91%,93%,69%,91%
20K748,P.S. 748 Brooklyn School For Global Scholars,98%,100%,N/A,96%,97%,96%,92%,95%,97%,94%,N/A,96%
20K971,"School Of Math, Science, And Healthy Living",95%,79%,N/A,76%,80%,85%,89%,88%,85%,94%,N/A,81%
21K090,P.S. 90 Edna Cohen School,66%,73%,N/A,86%,91%,83%,89%,82%,93%,92%,N/A,87%
21K095,P.S. 095 The Gravesend,69%,99%,98%,91%,95%,93%,92%,86%,92%,95%,86%,93%
21K096,I.S. 096 Seth Low,67%,91%,95%,90%,92%,84%,84%,78%,93%,91%,78%,90%
21K097,P.S. 97 The Highlawn,92%,86%,N/A,86%,92%,90%,92%,85%,92%,95%,N/A,88%
21K098,I.S. 98 Bay Academy,90%,96%,95%,94%,96%,90%,85%,80%,93%,91%,80%,95%
21K099,P.S. 099 Isaac Asimov,54%,88%,96%,97%,97%,97%,91%,89%,95%,92%,88%,98%
21K100,P.S. 100 The Coney Island School,88%,94%,N/A,94%,92%,93%,90%,93%,90%,89%,N/A,94%
21K101,P.S. 101 The Verrazano,92%,87%,N/A,90%,95%,92%,91%,90%,97%,96%,N/A,92%
21K121,P.S. 121 Nelson A. Rockefeller,52%,94%,100%,93%,98%,92%,92%,84%,94%,94%,82%,95%
21K128,P.S. 128 Bensonhurst,75%,71%,N/A,90%,91%,84%,89%,79%,92%,92%,N/A,87%
21K153,P.S. 153 Homecrest,90%,80%,N/A,88%,88%,81%,89%,89%,88%,92%,N/A,87%
21K177,P.S. 177 The Marlboro,78%,100%,N/A,92%,95%,90%,91%,89%,95%,95%,N/A,92%
21K188,P.S. 188 Michael E. Berdy,49%,92%,N/A,74%,78%,75%,88%,62%,87%,91%,N/A,73%
21K199,P.S. 199 Frederick Wachtel,57%,49%,N/A,80%,86%,86%,89%,86%,86%,92%,N/A,83%
21K209,P.S. 209 Margaret Mead,74%,83%,100%,93%,91%,90%,90%,80%,92%,93%,79%,93%
21K212,P.S. 212 Lady Deborah Moody,64%,79%,N/A,86%,92%,85%,90%,86%,93%,94%,N/A,89%
21K215,P.S. 215 Morris H. Weiss,78%,85%,N/A,95%,95%,96%,90%,92%,94%,92%,N/A,94%
21K216,P.S. 216 Arturo Toscanini,83%,93%,N/A,88%,90%,81%,94%,79%,93%,95%,N/A,86%
21K225,P.S. K225 - The Eileen E. Zaglin,80%,84%,98%,70%,77%,76%,82%,74%,83%,90%,77%,73%
21K226,P.S. 226 Alfred De B.Mason,49%,73%,99%,91%,95%,91%,89%,86%,93%,94%,85%,92%
21K228,I.S. 228 David A. Boody,49%,75%,97%,89%,93%,90%,84%,77%,91%,91%,77%,91%
21K238,P.S. 238 Anne Sullivan,63%,82%,99%,87%,88%,87%,89%,82%,91%,95%,83%,87%
21K239,Mark Twain I.S. 239 For The Gifted & Talented,81%,94%,98%,88%,92%,88%,85%,78%,91%,88%,78%,91%
21K253,P.S. 253,97%,95%,N/A,98%,99%,99%,91%,96%,97%,95%,N/A,98%
21K281,I.S. 281 Joseph B Cavallaro,41%,69%,95%,72%,67%,74%,80%,70%,77%,90%,71%,68%
21K288,P.S. 288 The Shirley Tanyhill,24%,48%,86%,73%,85%,80%,89%,69%,82%,92%,74%,77%
21K303,I.S. 303 Herbert S. Eisenberg,93%,94%,98%,72%,75%,74%,83%,76%,82%,89%,79%,71%
21K329,P.S. 329 Surfside,65%,82%,N/A,78%,74%,72%,87%,62%,82%,90%,N/A,72%
21K337,International High School At Lafayette,50%,100%,85%,89%,87%,82%,77%,79%,90%,89%,79%,86%
21K344,Rachel Carson High School For Coastal Studies,41%,87%,87%,88%,89%,88%,87%,71%,91%,93%,74%,88%
21K348,High School Of Sports Management,9%,89%,76%,79%,83%,78%,89%,66%,81%,94%,67%,79%
21K410,Abraham Lincoln High School,10%,88%,70%,82%,82%,82%,74%,69%,83%,85%,70%,82%
21K411,Abraham Lincoln Yabc,4%,88%,24%,98%,98%,95%,85%,84%,96%,92%,84%,97%
21K468,Kingsborough Early College School,43%,100%,90%,96%,97%,89%,84%,68%,91%,90%,68%,97%
21K525,Edward R. Murrow High School,16%,89%,83%,83%,87%,82%,79%,72%,89%,88%,74%,85%
21K540,John Dewey High School,32%,85%,71%,81%,86%,84%,73%,65%,86%,84%,67%,84%
21K559,Life Academy High School For Film And Music,14%,73%,79%,76%,74%,74%,83%,67%,85%,91%,71%,74%
21K572,Expeditionary Learning School For Community Leaders,59%,100%,90%,96%,96%,90%,88%,79%,94%,93%,78%,96%
21K620,William E. Grady Career And Technical Education High School,24%,95%,71%,76%,83%,74%,80%,58%,83%,90%,59%,79%
21K690,Brooklyn Studio Secondary School,19%,20%,86%,57%,63%,70%,75%,63%,72%,84%,68%,59%
21K728,Liberation Diploma Plus,92%,75%,93%,96%,98%,84%,99%,90%,95%,100%,90%,94%
22K014,J.H.S. 014 Shell Bank,51%,91%,97%,90%,93%,85%,83%,71%,91%,88%,71%,92%
22K052,P.S. 052 Sheepshead Bay,50%,100%,N/A,82%,87%,85%,90%,83%,91%,93%,N/A,85%
22K078,J.H.S. 078 Roy H. Mann,20%,91%,96%,95%,95%,95%,92%,91%,95%,94%,90%,96%
22K109,P.S. 109,31%,43%,82%,58%,68%,73%,85%,59%,73%,91%,64%,63%
22K119,P.S. 119 Amersfort,50%,97%,N/A,97%,96%,92%,90%,89%,97%,93%,N/A,95%
22K134,P.S. K134,93%,61%,N/A,93%,96%,90%,92%,91%,96%,95%,N/A,93%
22K139,P.S. 139 Alexine A. Fenty,52%,55%,N/A,67%,64%,63%,90%,66%,77%,90%,N/A,65%
22K152,School Of Science & Technology,43%,50%,N/A,78%,76%,80%,90%,80%,86%,93%,N/A,78%
22K193,P.S. 193 Gil Hodges,33%,95%,N/A,71%,62%,74%,80%,75%,69%,69%,N/A,73%
22K194,P.S. 194 Raoul Wallenberg,39%,76%,N/A,92%,95%,92%,91%,79%,94%,92%,N/A,90%
22K195,P.S. 195 Manhattan Beach,87%,92%,N/A,87%,85%,85%,95%,87%,94%,93%,N/A,87%
22K197,P.S. 197 - The Kings Highway Academy,54%,92%,N/A,88%,93%,87%,92%,88%,93%,94%,N/A,89%
22K198,P.S. 198 Brooklyn,24%,92%,N/A,87%,93%,89%,95%,78%,96%,96%,N/A,88%
22K203,P.S. 203 Floyd Bennett School,36%,58%,N/A,82%,86%,85%,91%,78%,91%,91%,N/A,84%
22K206,P.S. 206 Joseph F Lamb,41%,92%,97%,89%,92%,85%,93%,73%,90%,94%,73%,90%
22K207,P.S. 207 Elizabeth G. Leary,66%,87%,96%,87%,91%,86%,93%,76%,90%,91%,77%,90%
22K217,P.S. 217 Colonel David Marcus School,56%,68%,N/A,84%,83%,84%,90%,84%,88%,92%,N/A,84%
22K222,P.S. 222 Katherine R. Snyder,76%,93%,N/A,90%,92%,92%,95%,91%,94%,95%,N/A,92%
22K234,J.H.S. 234 Arthur W. Cunningham,65%,93%,98%,81%,85%,87%,86%,73%,87%,91%,73%,85%
22K236,P.S. 236 Mill Basin,65%,100%,N/A,91%,92%,90%,93%,89%,92%,92%,N/A,91%
22K240,Andries Hudde,39%,93%,97%,76%,82%,82%,87%,68%,85%,92%,69%,81%
22K245,P.S. 245,81%,100%,N/A,95%,89%,90%,91%,93%,84%,78%,N/A,94%
22K251,P.S. 251 Paerdegat,29%,95%,N/A,77%,83%,75%,86%,69%,85%,87%,N/A,77%
22K254,P.S. 254 Dag Hammarskjold,90%,81%,N/A,84%,83%,83%,92%,86%,89%,95%,N/A,84%
22K255,P.S. 255 Barbara Reing School,50%,93%,N/A,89%,83%,88%,89%,90%,91%,92%,N/A,88%
22K269,P.S. 269 Nostrand,32%,44%,N/A,61%,64%,69%,87%,56%,75%,92%,N/A,60%
22K277,P.S. 277 Gerritsen Beach,88%,100%,N/A,95%,94%,93%,95%,94%,97%,94%,N/A,95%
22K278,J.H.S. 278 Marine Park,45%,91%,96%,88%,93%,91%,88%,72%,89%,91%,72%,92%
22K312,P.S. 312 Bergen Beach,74%,90%,N/A,88%,83%,91%,93%,91%,90%,93%,N/A,88%
22K315,P.S. K315,63%,87%,N/A,78%,76%,75%,90%,69%,88%,92%,N/A,76%
22K326,P.S. 326,61%,95%,N/A,96%,97%,96%,94%,98%,98%,98%,N/A,96%
22K361,P.S. 361 East Flatbush Early Childhood School,29%,64%,N/A,67%,81%,70%,91%,62%,79%,94%,N/A,69%
22K381,I. S. 381,20%,88%,100%,87%,91%,78%,84%,71%,89%,87%,69%,90%
22K405,Midwood High School,13%,85%,66%,75%,77%,82%,77%,73%,82%,88%,74%,76%
22K425,James Madison High School,27%,90%,80%,84%,87%,80%,78%,63%,85%,86%,64%,85%
22K495,Sheepshead Bay High School,8%,46%,48%,78%,89%,83%,76%,61%,88%,92%,64%,83%
22K535,Leon M. Goldstein High School For The Sciences,21%,81%,71%,68%,69%,81%,73%,69%,76%,83%,69%,70%
22K555,Brooklyn College Academy,61%,100%,94%,93%,97%,94%,83%,82%,94%,90%,81%,96%
22K611,Origins High School,28%,81%,73%,88%,91%,76%,84%,65%,92%,92%,68%,87%
22K630,Professional Pathways High School,26%,100%,94%,95%,97%,89%,89%,79%,97%,95%,81%,96%
23K041,P.S. 041 Francis White,30%,58%,98%,70%,82%,77%,82%,68%,83%,85%,73%,76%
23K073,P.S. 073 Thomas S. Boyland,94%,100%,N/A,89%,88%,84%,94%,77%,88%,94%,N/A,85%
23K137,P.S./I.S. 137 Rachel Jean Mitchell,47%,57%,93%,77%,77%,82%,90%,72%,87%,92%,71%,81%
23K150,P.S. 150 Christopher,100%,100%,N/A,75%,75%,75%,87%,59%,76%,92%,N/A,68%
23K155,P.S./ I.S. 155 Nicholas Herkimer,68%,95%,95%,96%,98%,88%,96%,81%,96%,98%,81%,96%
23K156,P.S. 156 Waverly,43%,91%,N/A,85%,89%,79%,90%,70%,94%,93%,N/A,83%
23K165,P.S. 165 Ida Posner,58%,80%,93%,81%,78%,76%,89%,72%,86%,90%,74%,80%
23K178,P.S. 178 Saint Clair Mckelway,98%,79%,95%,87%,94%,91%,97%,80%,92%,97%,79%,92%
23K184,P.S. 184 Newport,54%,76%,91%,77%,81%,72%,92%,71%,85%,96%,75%,75%
23K284,P.S. 284 Lew Wallace,100%,49%,74%,75%,75%,80%,94%,67%,86%,96%,70%,75%
23K298,P.S. 298 Dr. Betty Shabazz,55%,90%,N/A,87%,82%,81%,96%,59%,86%,97%,N/A,76%
23K323,P.S./I.S. 323,75%,97%,99%,87%,91%,91%,93%,77%,88%,94%,77%,89%
23K327,P.S. 327 Dr. Rose B. English,63%,82%,95%,56%,57%,67%,78%,63%,69%,78%,66%,60%
23K363,Brownsville Collaborative Middle School,41%,100%,94%,62%,68%,73%,86%,75%,78%,96%,81%,61%
23K392,I.S. 392,50%,85%,100%,95%,97%,91%,86%,80%,91%,88%,79%,96%
23K401,Christopher Avenue Community School,72%,44%,N/A,54%,62%,72%,86%,58%,81%,91%,N/A,60%
23K446,Riverdale Avenue Community School,39%,88%,N/A,83%,87%,79%,89%,69%,91%,94%,N/A,80%
23K493,Brooklyn Collegiate: A College Board School,34%,96%,81%,86%,90%,83%,87%,71%,91%,92%,72%,88%
23K514,Frederick Douglass Academy Vii High School,77%,100%,72%,72%,87%,77%,83%,73%,88%,92%,77%,79%
23K518,Kappa V,75%,85%,97%,84%,92%,88%,89%,73%,88%,92%,74%,87%
23K522,Mott Hall Iv,90%,87%,88%,93%,99%,95%,95%,89%,94%,96%,88%,96%
23K599,Brooklyn Landmark Elementary School,100%,100%,N/A,98%,99%,98%,95%,95%,98%,95%,N/A,98%
23K643,Brooklyn Democracy Academy,53%,100%,65%,85%,94%,85%,82%,79%,94%,89%,81%,89%
23K644,Eagle Academy For Young Men Ii,30%,92%,76%,81%,90%,87%,89%,77%,88%,92%,79%,86%
23K646,Aspirations Diploma Plus High School,28%,84%,67%,84%,95%,77%,90%,71%,95%,93%,73%,88%
23K647,Metropolitan Diploma Plus High School,36%,100%,80%,87%,95%,91%,80%,75%,89%,87%,77%,90%
23K664,Brooklyn Environmental Exploration School (Bees),96%,100%,93%,96%,99%,84%,97%,78%,95%,99%,77%,94%
23K668,Riverdale Avenue Middle School,77%,75%,91%,77%,87%,85%,90%,81%,88%,94%,84%,81%
23K671,Mott Hall Bridges Academy,60%,95%,92%,93%,99%,94%,93%,89%,95%,95%,87%,97%
23K697,Teachers Preparatory High School,35%,83%,72%,78%,79%,78%,82%,63%,82%,84%,67%,79%
24Q005,I.S. 5 - The Walter Crowley Intermediate School,58%,91%,88%,79%,86%,86%,81%,75%,88%,91%,76%,83%
24Q007,P.S. 007 Louis F. Simeone,59%,74%,N/A,78%,78%,80%,86%,81%,86%,93%,N/A,78%
24Q012,P.S. 012 James B. Colgate,91%,94%,N/A,83%,91%,86%,88%,88%,87%,93%,N/A,86%
24Q013,P.S. 013 Clement C. Moore,83%,96%,N/A,85%,82%,83%,89%,86%,88%,92%,N/A,84%
24Q014,P.S. 014 Fairview,36%,55%,N/A,77%,78%,76%,83%,71%,85%,90%,N/A,75%
24Q016,P.S. Q016 The Nancy Debenedittis School,87%,95%,N/A,83%,88%,88%,90%,85%,87%,95%,N/A,85%
24Q019,P.S. 019 Marino Jeantet,83%,81%,N/A,84%,88%,86%,89%,84%,91%,92%,N/A,86%
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,85%,95%,N/A,94%,92%,89%,91%,90%,98%,96%,N/A,92%
24Q049,P.S. 049 Dorothy Bonawit Kole,48%,64%,95%,90%,90%,90%,92%,80%,94%,94%,80%,91%
24Q058,P.S. 58 - School Of Heroes,74%,79%,94%,70%,68%,82%,92%,81%,77%,94%,85%,72%
24Q061,I.S. 061 Leonardo Da Vinci,53%,48%,91%,72%,78%,80%,82%,74%,84%,89%,76%,76%
24Q068,P.S. 068 Cambridge,61%,91%,N/A,86%,89%,82%,92%,81%,94%,94%,N/A,86%
24Q071,P.S. 071 Forest,62%,64%,N/A,86%,89%,89%,89%,83%,94%,94%,N/A,87%
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,74%,60%,96%,74%,79%,79%,78%,72%,86%,88%,74%,78%
24Q077,I.S. 077,38%,99%,98%,83%,87%,75%,78%,71%,89%,87%,71%,85%
24Q081,P.S. 81Q Jean Paul Richter,95%,100%,N/A,86%,90%,87%,89%,81%,92%,94%,N/A,86%
24Q087,P.S. / I.S. 087 Middle Village,34%,50%,92%,86%,86%,86%,95%,76%,88%,94%,77%,86%
24Q088,P.S. 088 Seneca,35%,72%,N/A,75%,73%,72%,90%,74%,86%,93%,N/A,74%
24Q089,P.S. 089 Elmhurst,90%,97%,N/A,69%,79%,77%,87%,75%,86%,93%,N/A,75%
24Q091,P.S. 091 Richard Arkwright,43%,100%,N/A,86%,84%,84%,93%,82%,93%,93%,N/A,86%
24Q093,I.S. 093 Ridgewood,71%,95%,97%,80%,84%,82%,82%,75%,88%,90%,76%,83%
24Q102,P.S. 102 Bayview,85%,100%,99%,76%,82%,84%,87%,84%,89%,93%,85%,80%
24Q110,Ps 110,63%,67%,N/A,76%,68%,65%,91%,76%,81%,95%,N/A,70%
24Q113,P.S./I.S. 113 Anthony J. Pranzo,85%,100%,91%,90%,91%,93%,93%,87%,91%,94%,88%,91%
24Q119,I.S. 119 The Glendale,51%,96%,94%,76%,80%,82%,82%,74%,81%,85%,76%,79%
24Q125,I.S. 125 Thom J. Mccann Woodside,55%,100%,98%,81%,85%,86%,85%,76%,87%,91%,77%,84%
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",66%,85%,99%,84%,86%,88%,91%,74%,89%,93%,72%,88%
24Q143,P.S. 143 Louis Armstrong,26%,76%,N/A,71%,67%,73%,85%,72%,83%,92%,N/A,70%
24Q153,P.S. 153 Maspeth Elem,75%,92%,99%,90%,91%,88%,93%,81%,93%,94%,80%,90%
24Q199,P.S. 199 Maurice A. Fitzgerald,69%,96%,N/A,78%,85%,78%,90%,79%,91%,95%,N/A,81%
24Q211,Elm Tree Elementary School,72%,100%,N/A,91%,95%,85%,89%,88%,98%,94%,N/A,91%
24Q229,P.S. 229 Emanuel Kaplan,63%,99%,N/A,88%,93%,87%,92%,86%,95%,94%,N/A,90%
24Q236,International High School For Health Sciences,38%,82%,88%,87%,87%,82%,84%,75%,90%,93%,77%,84%
24Q239,P.S. 239,78%,98%,N/A,94%,96%,92%,87%,91%,95%,91%,N/A,94%
24Q264,Academy Of Finance And Enterprise,97%,100%,96%,82%,85%,78%,84%,78%,88%,90%,78%,83%
24Q267,High School Of Applied Communication,37%,100%,81%,83%,92%,88%,86%,74%,90%,90%,74%,89%
24Q290,A.C.E. Academy For Scholars At The Geraldine Ferraro Campus,64%,97%,N/A,79%,77%,86%,92%,84%,88%,94%,N/A,80%
24Q293,Civic Leadership Academy,60%,97%,97%,83%,78%,86%,84%,80%,84%,91%,82%,80%
24Q296,Pan American International High School,72%,85%,91%,90%,95%,92%,89%,86%,94%,95%,87%,92%
24Q299,Bard High School Early College Queens,47%,82%,84%,79%,87%,91%,89%,86%,92%,94%,87%,85%
24Q305,Learners And Leaders,62%,47%,N/A,86%,92%,81%,93%,88%,93%,95%,N/A,87%
24Q307,Pioneer Academy,100%,76%,N/A,78%,86%,76%,87%,84%,85%,92%,N/A,81%
24Q311,Corona Arts And Sciences Academy,80%,91%,94%,92%,95%,90%,86%,78%,91%,93%,78%,94%
24Q330,P.S. 330,56%,73%,N/A,79%,83%,82%,89%,79%,88%,91%,N/A,81%
24Q343,The Children'S Lab School,82%,100%,N/A,93%,96%,93%,95%,91%,97%,96%,N/A,94%
24Q455,Newtown High School,40%,81%,81%,91%,93%,90%,80%,75%,92%,90%,76%,93%
24Q457,Hs Arts & Business Yabc,51%,68%,46%,87%,90%,84%,89%,84%,97%,95%,85%,89%
24Q485,Grover Cleveland High School,10%,50%,72%,76%,72%,80%,74%,64%,78%,83%,65%,76%
24Q520,Middle College High School At Laguardia Community College,30%,71%,74%,81%,91%,88%,74%,79%,91%,88%,80%,87%
24Q530,International High School At Laguardia Community College,61%,100%,94%,95%,98%,97%,96%,91%,98%,99%,91%,96%
24Q550,High School For Arts And Business,44%,94%,88%,90%,94%,89%,88%,81%,92%,94%,82%,90%
24Q560,"Robert F. Wagner, Jr. Secondary School For Arts And Technology",36%,85%,92%,87%,92%,94%,84%,79%,92%,90%,79%,92%
24Q585,Maspeth High School,27%,75%,85%,93%,92%,94%,81%,80%,90%,87%,79%,94%
24Q600,Queens Vocational And Technical High School,19%,79%,68%,87%,91%,86%,80%,71%,90%,89%,73%,88%
24Q610,Aviation Career & Technical Education High School,13%,77%,84%,89%,91%,89%,80%,79%,92%,89%,79%,91%
24Q744,Voyages Preparatory,17%,87%,63%,93%,97%,91%,80%,89%,98%,91%,90%,94%
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),83%,100%,N/A,92%,91%,94%,89%,92%,92%,93%,N/A,92%
